statements,tiidf_result,lsi_result,lda_result,difflib_resutl
"I've got vehicles, I buy vehicles, i want to be inbetween the finance company and the broker, the broker goes to the finance company and I deal with the broker. for me to be able to receive payment for a vehicle I have to have something from the FCA, what is that?","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Are you a not for profit organisation? A not-for-profit body is one which, by virtue of its constitution or any enactment:
(1) is required (after payment of outgoings) to apply the whole of its income, and any capital which it expends, for charitable or public purposes, and 
(2) is prohibited from directly or indirectly distributing amongst its members any part of its assets (otherwise than for charitable or public purposes).  "
"We want to start a new model where we rent them to customers rather than sell them. Do we need to reguated by you, and if so, what level of regulation do we need?",Is your main business activity to sell goods or supply services and not to carry on a regulated activity?   credit ready q.4,Is your main business activity to sell goods or supply services and not to carry on a regulated activity?   credit ready q.4,Are you a local authority or a 'Specified Person'? Click HERE to check if you are a housing authority or specified person.  60E(2),"Does the value of the contract exceed £25,000 AND is it provided to the hirer predominantly for the purposes of his business?   60O"
"What I needed to do whether or not I needed a CC licence? Just an online retailer, just an online shop, I wouldn¡¯t be offering paying in installments","Are your customers high net worth individuals only? If you provide loans to 'high net worth individuals' only, you will not need to apply for authorisation. Consider whether this is an option for your business.
Note: If your customers are ‘high net worth individuals’ you will need to make sure that you comply with the 'conditions' (link to conditions) and your customer will need to sign this declaration (link to declaration).  This question is eliminating 60H RAO","Are your customers high net worth individuals only? If you provide loans to 'high net worth individuals' only, you will not need to apply for authorisation. Consider whether this is an option for your business.
Note: If your customers are ‘high net worth individuals’ you will need to make sure that you comply with the 'conditions' (link to conditions) and your customer will need to sign this declaration (link to declaration).  This question is eliminating 60H RAO","Are your customers high net worth individuals only? If you provide loans to 'high net worth individuals' only, you will not need to apply for authorisation. Consider whether this is an option for your business.
Note: If your customers are ‘high net worth individuals’ you will need to make sure that you comply with the 'conditions' (link to conditions) and your customer will need to sign this declaration (link to declaration).  This question is eliminating 60H RAO",Are you a credit union? Click HERE to check if you are a credit union.  60G(2)
"one of the things we want to do is to be able to offer our customers some sort of credit facility, not directly, well probably be going through Barclays bank. Understand we have to have Account Licence in order to be able to pass our customers to Barclays. ","Is the credit agreement a 'regulated mortgage contract' or a 'regulated home purchase plan'? Please click HERE to see (a short video)(detailed advice) explaining what these terms mean.  It is very important that you understand the difference between these agreements and other credit agreements as if this applies to you, you may be exempt. 60C(2) ROA",Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,"Do you deal with Consumer Clients 'by way of business'? The expression 'by way of business' means that you conduct this activity regularly. If you intend to provide a loan to an individual once for example, you will not need to be authorised. If you are not sure how this applies to you, please click HERE to find out more.   ","Is the credit agreement a 'regulated mortgage contract' or a 'regulated home purchase plan'? Please click HERE to see (a short video)(detailed advice) explaining what these terms mean.  It is very important that you understand the difference between these agreements and other credit agreements as if this applies to you, you may be exempt. 60C(2) ROA"
"I want to borrow ¡ê500 to one of my friends, just a one off thing im doing as a favour, but im also charging interest, do I need to have a licence to borrow that money. I want to make sure I can recuperate the money legally if they cant pay ","a. Do you charge any money to borrowers in connection with the provision of credit – including interest payments and other charges?

b. Is the obligation to repay secured by a legal mortgage on land?

c. Are your agreements ever hire purchase or conditional sale agreements? If you answer ‘yes’ to any of these question, then please click ‘yes'. Otherwise click ‘no’  A ‘hire-purchase agreement’ is an agreement between you as owner and another person as hirer of goods where the hirer has the option or ability to buy the goods. The goods should be in the possession of the hirer. This agreement is not to be confused with a consumer hire agreement which is also an agreement between you as owner and another person as hirer of goods BUT which does not give the hirer the option to purchase the goods. credit ready q.5","a. Do you charge any money to borrowers in connection with the provision of credit – including interest payments and other charges?

b. Is the obligation to repay secured by a legal mortgage on land?

c. Are your agreements ever hire purchase or conditional sale agreements? If you answer ‘yes’ to any of these question, then please click ‘yes'. Otherwise click ‘no’  A ‘hire-purchase agreement’ is an agreement between you as owner and another person as hirer of goods where the hirer has the option or ability to buy the goods. The goods should be in the possession of the hirer. This agreement is not to be confused with a consumer hire agreement which is also an agreement between you as owner and another person as hirer of goods BUT which does not give the hirer the option to purchase the goods. credit ready q.5","a. Do you charge any money to borrowers in connection with the provision of credit – including interest payments and other charges?

b. Is the obligation to repay secured by a legal mortgage on land?

c. Are your agreements ever hire purchase or conditional sale agreements? If you answer ‘yes’ to any of these question, then please click ‘yes'. Otherwise click ‘no’  A ‘hire-purchase agreement’ is an agreement between you as owner and another person as hirer of goods where the hirer has the option or ability to buy the goods. The goods should be in the possession of the hirer. This agreement is not to be confused with a consumer hire agreement which is also an agreement between you as owner and another person as hirer of goods BUT which does not give the hirer the option to purchase the goods. credit ready q.5",Is the loan provided to an individual in connection with a dwelling and secured by a mortgage on the land? Please click HERE to see what conditions apply.  This is to eliminate 60D
"im looking to start a buisness, like a vehicle broker, so car leasing van leasing, im not a lender, I go out find the best deal at dealerships, advertise their prices and they¡¯ll come to me and I'll point them in the direction they need to go and I just charge a fee for doing that. I've come to decision I need to apply for limited permisions. Is this correct.",Are your agreements secured by a legal mortgage on land?   check where in RAO this comes from? it's in Credit Ready. q15.,Are your agreements secured by a legal mortgage on land?   check where in RAO this comes from? it's in Credit Ready. q15.,"Do you provide credit to individuals? Credit includes a cash loan and any other form of financial accommodation. If you would like to see more details about the constituent elements of 'credit', please click HERE for detailed advice. If your main activity is the supply of goods and services, and you also provide credit to your customers to buy goods from you, this is a form of credit agreement. You should therefore click 'yes'. ","Is the credit more than £25,000 AND provided to the borrower for the purposes of his business activities? If the credit is provided to your customer 'predominantly' for the purpose of his business (but not exclusively, please also click 'yes'.  ROA 60C(3)"
WI am plumber and want to help my customers with paying the bills. What do I do?,Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,Is your customer a 'high net worth' individual? Note: If your customers are ‘high net worth individuals’ you will need to make sure that you comply with the 'conditions' (link to conditions) and your customer will need to sign this declaration (link to declaration).  60Q,que1058 yes  adv7
"I want to begin providing credit with a finance company, act as brokers so we can offer interest free credit to our customers. What does this involve?","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you already have another Limited Permission AND only provide credit information services in connection with this Limited Permission? If the performance of credit information activities is incidental or only connected to the carrying on of another Limited Permission, then you will not need to increase your license from Limited to Full.  check ROA. q 32, credit ready"
"Im wondering what the law is in taking installment payments for holiday lets? I was told to contact yourself? Ive got a couple of holiday lets that I rent out and people ask to pay in installments, are you allowed to take installment payments?","Do you carry on the activity of debt collecting? Please click ‘yes’ if you take steps that lead to the payment of a debt under a credit agreement or a hire agreement or any of the agreements listed in this list (add link), Otherwise, click ‘no’.  39F","Do you carry on the activity of debt collecting? Please click ‘yes’ if you take steps that lead to the payment of a debt under a credit agreement or a hire agreement or any of the agreements listed in this list (add link), Otherwise, click ‘no’.  39F",que1058 yes  adv7,"If the ONLY credit broking you carry on is in relation to Green Deal Plans, please click ‘yes’. Otherwise, click ‘no’. Click HERE to view a short video explaining what a Green Plan is.  credit ready q. 18 to 20 inclusively"
"If I introduce a client to somebody who will provide them with securities, like lending, invoice discounts,  do I need to have a licence to do that or can I just pass them on provided I tell them that Im passing them on and Ill get a fee back from the people that I intoduce them to","<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> ","<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> ","Is the credit provided to your customer for his business AND in connection with trade in goods and services with persons outside of the UK? The location of the customer of your customer is key to answering this question. If your customer sells goods from the UK to Germany, click 'yes'. If he is a consultant who advises clients who are outside of the UK, please also click 'yes'. If, however, he sells goods (such as children toys) to people in the UK as well as to people outside of the UK, then click 'no'.  60C(8)","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  "
"We are looking to do some credit agreements for some of our drivers, where we could pay for peoples licence upgrades and they can pay us back. What do we have to do?","Is the credit provided to your customer for his business AND in connection with trade in goods and services with persons outside of the UK? The location of the customer of your customer is key to answering this question. If your customer sells goods from the UK to Germany, click 'yes'. If he is a consultant who advises clients who are outside of the UK, please also click 'yes'. If, however, he sells goods (such as children toys) to people in the UK as well as to people outside of the UK, then click 'no'.  60C(8)","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Is the credit provided to your customer so he can purchase land for non residential purposes? Before answering the question, click HERE to (watch a video)(read advice) which explains what this means as the question does not relate to all purchases of land.  60D"
just set up a new busienss car dealing and I need to get registered with you to be able to do finance is that right?,Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,"Is the credit less than £25,000 AND a Green Deal Plan? Click HERE to find out what the Green Deal Plan is.   ","<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> ",Are you a local authority or a 'Specified Person'? Click HERE to check if you are a housing authority or specified person.  60E(2)
I sell 2nd hand cars. Want to be able to offer finance incentives with close brothers and like leasing ,"Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ",Are you a housing authority? Click HERE to check if you are a housing authority.   60E(5)
"don¡¯t directly do finance, we hand them over to finance, want to become FCA registered so I can directly transfer the customer what do I need to do? ",Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,"Do you provide credit to individuals? Credit includes a cash loan and any other form of financial accommodation. If you would like to see more details about the constituent elements of 'credit', please click HERE for detailed advice. If your main activity is the supply of goods and services, and you also provide credit to your customers to buy goods from you, this is a form of credit agreement. You should therefore click 'yes'. "
"I take details, submit to finance company, go to Underwriters who make a decision whether be accepted or not. Technically car being sold to the finance company and you as the consumer will be making payments to the finance companyI will give you 5K for your car and the remaining balance added onto the new finance to the new finance you take out. Do I need to register with you?","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ",Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,"Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Does the value of the contract exceed £25,000 AND is it provided to the hirer predominantly for the purposes of his business?   60O"
"I hire something for 3 months, and then at the end of the agreement they hire it again, is this a new hire and therefore does not require authorisation, or is it the same hire because its the same person same item? ","Do you enter into consumer hire agreements with individuals? A consumer hire agreement is an agreement between you as owner and another person as hirer of goods AND which is for a duration of more than 3 months. The goods should be in the possession of the hirer. This agreement is not to be confused with a ‘hire-purchase agreement’ where the hirer has the option or ability to buy the goods. NOTE: If you exercise the rights of an owner, you are also deemed to be entering into a consumer hire agreement and should click ‘yes’.  60N to Q","Do you enter into consumer hire agreements with individuals? A consumer hire agreement is an agreement between you as owner and another person as hirer of goods AND which is for a duration of more than 3 months. The goods should be in the possession of the hirer. This agreement is not to be confused with a ‘hire-purchase agreement’ where the hirer has the option or ability to buy the goods. NOTE: If you exercise the rights of an owner, you are also deemed to be entering into a consumer hire agreement and should click ‘yes’.  60N to Q",Are you an investment firm or a credit institution AND the agreement is entered into for the purpose of allowing the borrower to carry out a transaction relating to one or more financial instruments?   60E(6),"Are your customers high net worth individuals only? If you provide loans to 'high net worth individuals' only, you will not need to apply for authorisation. Consider whether this is an option for your business.
Note: If your customers are ‘high net worth individuals’ you will need to make sure that you comply with the 'conditions' (link to conditions) and your customer will need to sign this declaration (link to declaration).  This question is eliminating 60H RAO"
"what permissions do we need, whether our organisation is authorised for the consumer hire business permission. An agreement between the employer and the cycle to work scheme, all the NHS does is collect the payment. Do we need to register?","Do you already have another Limited Permission AND only provide credit information services in connection with this Limited Permission? If the performance of credit information activities is incidental or only connected to the carrying on of another Limited Permission, then you will not need to increase your license from Limited to Full.  check ROA. q 32, credit ready","Do you enter into consumer hire agreements with individuals? A consumer hire agreement is an agreement between you as owner and another person as hirer of goods AND which is for a duration of more than 3 months. The goods should be in the possession of the hirer. This agreement is not to be confused with a ‘hire-purchase agreement’ where the hirer has the option or ability to buy the goods. NOTE: If you exercise the rights of an owner, you are also deemed to be entering into a consumer hire agreement and should click ‘yes’.  60N to Q",que1058 yes  adv7,mul780 .  que829
If you're offering 12 months at 0% interest on installments do we have to be authorised?,"Do you act as appointed representative for an authorised firm? If you are appointed by a person who is authorised by the FCA to represent that person you may be exempt. If you have a written agreement with the authorised firm and meet the conditions listed HERE, click 'yes'. Otherwise, click 'no'.  ","Do you act as appointed representative for an authorised firm? If you are appointed by a person who is authorised by the FCA to represent that person you may be exempt. If you have a written agreement with the authorised firm and meet the conditions listed HERE, click 'yes'. Otherwise, click 'no'.  ","Do you enter into consumer hire agreements with individuals? A consumer hire agreement is an agreement between you as owner and another person as hirer of goods AND which is for a duration of more than 3 months. The goods should be in the possession of the hirer. This agreement is not to be confused with a ‘hire-purchase agreement’ where the hirer has the option or ability to buy the goods. NOTE: If you exercise the rights of an owner, you are also deemed to be entering into a consumer hire agreement and should click ‘yes’.  60N to Q","Do you carry on the activity of debt administration? Please click ‘yes’ if you take steps to (1) perform the duties of a lender or an owner or (2) exercise or enforce the rights of a lender or an owner under a credit agreement or a hire agreement or any of the agreements listed in this list (add link), Otherwise, click ‘no’.  39G"
How do I get a debt adjusting licence? ,"Do you carry on the activities of debt adjusting? Please click ‘yes’ if you assist another person to (1) liquidate their credit agreement or their hire agreement, or (2) if you take over this agreement from them (for a fee) or (3) if you negotiate on their behalf with the lender or the owner with the aim of discharging the debt. Otherwise, click ‘no’.  39D","Do you carry on the activities of debt adjusting? Please click ‘yes’ if you assist another person to (1) liquidate their credit agreement or their hire agreement, or (2) if you take over this agreement from them (for a fee) or (3) if you negotiate on their behalf with the lender or the owner with the aim of discharging the debt. Otherwise, click ‘no’.  39D","Do you operate an electronic system in relation to lending (such as a peer-to-peer lending platform)? Please click ‘yes’ if the platform facilitates the entry of 2 individuals (one as a borrower and one as a lender) into these types of agreements (click here to watch video/view list). Otherwise, click ‘no’.  36H",Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E
I need limited permsission. I don¡¯t know what the difference is.,"Do you already have another Limited Permission AND only provide credit information services in connection with this Limited Permission? If the performance of credit information activities is incidental or only connected to the carrying on of another Limited Permission, then you will not need to increase your license from Limited to Full.  check ROA. q 32, credit ready","Do you already have another Limited Permission AND only provide credit information services in connection with this Limited Permission? If the performance of credit information activities is incidental or only connected to the carrying on of another Limited Permission, then you will not need to increase your license from Limited to Full.  check ROA. q 32, credit ready","Do you already have another Limited Permission AND only provide credit information services in connection with this Limited Permission? If the performance of credit information activities is incidental or only connected to the carrying on of another Limited Permission, then you will not need to increase your license from Limited to Full.  check ROA. q 32, credit ready","If the ONLY credit broking you carry on is in relation to Green Deal Plans, please click ‘yes’. Otherwise, click ‘no’. Click HERE to view a short video explaining what a Green Plan is.  credit ready q. 18 to 20 inclusively"
I've been told by a finance company that I need debt adjusting what is this?,"Do you carry on the activities of debt adjusting? Please click ‘yes’ if you assist another person to (1) liquidate their credit agreement or their hire agreement, or (2) if you take over this agreement from them (for a fee) or (3) if you negotiate on their behalf with the lender or the owner with the aim of discharging the debt. Otherwise, click ‘no’.  39D","Do you carry on the activities of debt adjusting? Please click ‘yes’ if you assist another person to (1) liquidate their credit agreement or their hire agreement, or (2) if you take over this agreement from them (for a fee) or (3) if you negotiate on their behalf with the lender or the owner with the aim of discharging the debt. Otherwise, click ‘no’.  39D","Do you enter into any of the credit agreements shown in this video with your customers? Please click HERE to watch a short video about the types of agreements which are exempt. If you enter into these agreements with your customers, click 'yes'. Otherwise, click 'no'.   60G(3), (5) and (8)",Do you provide credit information services?   
what would be involved in getting a credit licence to provide finance to customers ,Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,"Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you operate an electronic system in relation to lending (such as a peer-to-peer lending platform)? Please click ‘yes’ if the platform facilitates the entry of 2 individuals (one as a borrower and one as a lender) into these types of agreements (click here to watch video/view list). Otherwise, click ‘no’.  36H"
"We hire out baby equipment and when we looked on your website it says if people hire for more than 3 months then you have to be registered. None of the clients hire for 3 months in first instance, but they're free to renew as often as they want, didnt know if that then classed as hiring for 3 months or not?","Do you enter into consumer hire agreements with individuals? A consumer hire agreement is an agreement between you as owner and another person as hirer of goods AND which is for a duration of more than 3 months. The goods should be in the possession of the hirer. This agreement is not to be confused with a ‘hire-purchase agreement’ where the hirer has the option or ability to buy the goods. NOTE: If you exercise the rights of an owner, you are also deemed to be entering into a consumer hire agreement and should click ‘yes’.  60N to Q","Do you enter into consumer hire agreements with individuals? A consumer hire agreement is an agreement between you as owner and another person as hirer of goods AND which is for a duration of more than 3 months. The goods should be in the possession of the hirer. This agreement is not to be confused with a ‘hire-purchase agreement’ where the hirer has the option or ability to buy the goods. NOTE: If you exercise the rights of an owner, you are also deemed to be entering into a consumer hire agreement and should click ‘yes’.  60N to Q",Are you an investment firm or a credit institution AND the agreement is entered into for the purpose of allowing the borrower to carry out a transaction relating to one or more financial instruments?   60E(6),"Is the credit agreement a 'regulated mortgage contract' or a 'regulated home purchase plan'? Please click HERE to see (a short video)(detailed advice) explaining what these terms mean.  It is very important that you understand the difference between these agreements and other credit agreements as if this applies to you, you may be exempt. 60C(2) ROA"
"USED CAR DEALERSHIP, LTD vat REGISTERED, LOOKING AT DOING FINANCE WITH A BROKER COMPANY, simply a broker agreement that part says FCA DPA registeration, says you need to be authorised by the FCA. Firm is just introducing them to finance company","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you operate an electronic system in relation to lending (such as a peer-to-peer lending platform)? Please click ‘yes’ if the platform facilitates the entry of 2 individuals (one as a borrower and one as a lender) into these types of agreements (click here to watch video/view list). Otherwise, click ‘no’.  36H"
"checking on what I need to do,  my trading association says I need to hold and maintain FCA authorisation for consumer credit","Do you act as appointed representative for an authorised firm? If you are appointed by a person who is authorised by the FCA to represent that person you may be exempt. If you have a written agreement with the authorised firm and meet the conditions listed HERE, click 'yes'. Otherwise, click 'no'.  ","Do you act as appointed representative for an authorised firm? If you are appointed by a person who is authorised by the FCA to represent that person you may be exempt. If you have a written agreement with the authorised firm and meet the conditions listed HERE, click 'yes'. Otherwise, click 'no'.  ","<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  "
"If were never gonna lend money, were gonna say we can offer finance and this is the company that will lend you the money, but they don¡¯t give us any money back, do we need a credit licence ",Is the agreement a borrower lender supplier agreement? A borrower lender supplier agreement is a credit (or loan) agreement where on person (A) lends to another person (B) and amount of money in connection with the supply of goods (whether by (A) or another person).  60F,Is the agreement a borrower lender supplier agreement? A borrower lender supplier agreement is a credit (or loan) agreement where on person (A) lends to another person (B) and amount of money in connection with the supply of goods (whether by (A) or another person).  60F,"<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> ",mul780 .  que829
"I used to have FCA licence and I have gone back into selling cars again, can I renew my old FCA licence? I will be refering them to finance company.",Do you provide credit references?   ,Do you provide credit references?   ,"<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  "
